GAMEID,Date,manager_name,team,win_loss
TEX197304250,04/25/1973,"""Whitey Herzog""",TEX,w
HOU197604250,04/25/1976,"""Joe Frazier""",NYN,w
CAL197704250,04/25/1977,"""Jack McKeon""",OAK,l
PHI199004250,04/25/1990,"""Nick Leyva""",PHI,l
PHI199104250,04/25/1991,"""Bud Harrelson""",NYN,l
SLN199204250,04/25/1992,"""Tom Runnells""",MON,l
DET200104250,04/25/2001,"""Phil Garner""",DET,l
ARI200704250,04/25/2007,"""Bob Melvin""",ARI,w
NYN200804250,04/25/2008,"""Bobby Cox""",ATL,w
FLO200904250,04/25/2009,"""Charlie Manuel""",PHI,w
HOU200904250,04/25/2009,"""Cecil Cooper""",HOU,l
CIN200904250,04/25/2009,"""Dusty Baker""",CIN,l
NYA201304250,04/25/2013,"""John Gibbons""",TOR,l
PHI201304250,04/25/2013,"""Charlie Manuel""",PHI,l
HOU201404250,04/25/2014,"""Bo Porter""",HOU,l
MIL201504250,04/25/2015,"""Ron Roenicke""",MIL,l
COL201604250,04/25/2016,"""Walt Weiss""",COL,l
SLN202104250,04/25/2021,"""David Bell""",CIN,l
NYA190504260,04/26/1905,"""Clark Griffith""",NYA,w
NY1190604260,04/26/1906,"""John McGraw""",NY1,w
CLE190704260,04/26/1907,"""Fielder Jones""",CHA,w
NY1191004260,04/26/1910,"""John McGraw""",NY1,w
WS1191204260,04/26/1912,"""Harry Wolverton""",NYA,w
BSN191304260,04/26/1913,"""Red Dooin""",PHI,w
BRO191504260,04/26/1915,"""Wilbert Robinson""",BRO,l
CIN193504260,04/26/1935,"""Chuck Dressen""",CIN,l
BRO193704260,04/26/1937,"""Burleigh Grimes""",BRO,l
SLN195204260,04/26/1952,"""Eddie Stanky""",SLN,w
CLE195304261,04/26/1953,"""Fred Hutchinson""",DET,l
PHI195904262,04/26/1959,"""Danny Murtaugh""",PIT,l
